date,country,confirmed_cases,active_cases,total_deaths,total_recoveries,new_cases,new_deaths,vaccination_rate
2021-01-31,USA,2519366,426808,49011,2043547,81333,1174,3.842685633798714
2021-02-01,USA,2616231,445246,51806,2119179,96865,2795,3.9705042270602187
2021-02-02,USA,2707148,447970,54482,2204696,90917,2676,4.058271571434023
2021-02-03,USA,2810259,469092,56538,2284629,103111,2056,4.150997645590643
2021-02-04,USA,2907285,495007,58483,2353795,97026,1945,4.242794615226135
2021-02-05,USA,3002023,515087,61151,2425785,94738,2668,4.314528846039819
2021-02-06,USA,3100974,526678,62619,2511677,98951,1468,4.4787717883391265
2021-02-07,USA,3198502,536744,64057,2597701,97528,1438,4.583939258247015
2021-02-08,USA,3303368,563665,66229,2673474,104866,2172,4.7592346325854
2021-02-09,USA,3408406,588555,67953,2751898,105038,1724,4.815350903818615
2021-02-10,USA,3515215,605821,69056,2840338,106809,1103,4.899325270098306
2021-02-11,USA,3618018,629827,71410,2916781,102803,2354,5.052965930813675
2021-02-12,USA,3719678,650361,72706,2996611,101660,1296,5.119986958999764
2021-02-13,USA,3817514,655466,75493,3086555,97836,2787,5.208678203157037
2021-02-14,USA,3921417,670687,77685,3173045,103903,2192,5.294956046792104
2021-02-15,USA,4022738,677156,78886,3266696,101321,1201,5.480018755366604
2021-02-16,USA,4114192,686442,80439,3347311,91454,1553,5.664585294359491
2021-02-17,USA,4218727,694523,83338,3440866,104535,2899,5.810890041282635
2021-02-18,USA,4318328,720863,84352,3513113,99601,1014,5.9604153066488434
2021-02-19,USA,4420885,746473,85387,3589025,102557,1035,6.092725375053831
2021-02-20,USA,4524261,757584,86884,3679793,103376,1497,6.178312738178351
2021-02-21,USA,4628789,767711,88609,3772469,104528,1725,6.325757673035434
2021-02-22,USA,4728548,793172,90740,3844636,99759,2131,6.430915043494349
2021-02-23,USA,4830584,815998,92301,3922285,102036,1561,6.626866626707216
2021-02-24,USA,4931970,823976,94594,4013400,101386,2293,6.752262190672995
2021-02-25,USA,5027388,838798,96649,4091941,95418,2055,6.831548638842701
2021-02-26,USA,5118773,850509,97607,4170657,91385,958,6.908115240753759
2021-02-27,USA,5219409,853801,100506,4265102,100636,2899,7.095344899286826
2021-02-28,USA,5314053,856618,103282,4354153,94644,2776,7.27329631760693
2021-03-01,USA,5412499,875110,104846,4432543,98446,1564,7.450966818334459
2021-03-02,USA,5502058,879126,106738,4516194,89559,1892,7.605371287835705
2021-03-03,USA,5593094,902278,108686,4582130,91036,1948,7.747622371840581
2021-03-04,USA,5691360,912197,111124,4668039,98266,2438,7.902994984438648
2021-03-05,USA,5783942,931586,112715,4739641,92582,1591,8.074399157760425
2021-03-06,USA,5877104,944993,115348,4816763,93162,2633,8.199626601963505
2021-03-07,USA,5969315,955279,117742,4896294,92211,2394,8.354921633552161
2021-03-08,USA,6060655,972575,119272,4968808,91340,1530,8.419018924528292
2021-03-09,USA,6150939,996902,121219,5032818,90284,1947,8.53885862724816
2021-03-10,USA,6230598,1018456,122956,5089186,79659,1737,8.594460855560543
2021-03-11,USA,6320156,1034891,125324,5159941,89558,2368,8.663519932458327
2021-03-12,USA,6414873,1047201,126680,5240992,94717,1356,8.726322052207392
2021-03-13,USA,6501551,1060735,127636,5313180,86678,956,8.857417320448908
2021-03-14,USA,6593499,1073738,130350,5389411,91948,2714,8.955860791390094
2021-03-15,USA,6681846,1091973,132638,5457235,88347,2288,9.071706504495939
2021-03-16,USA,6761240,1111618,133707,5515915,79394,1069,9.15924293922063
2021-03-17,USA,6851830,1120712,135607,5595511,90590,1900,9.308272545728288
2021-03-18,USA,6935010,1135092,137456,5662462,83180,1849,9.39543219415346
2021-03-19,USA,7023552,1143365,138971,5741216,88542,1515,9.447591217447924
2021-03-20,USA,7101626,1156259,139904,5805463,78074,933,9.568611983065008
2021-03-21,USA,7189206,1171855,141083,5876268,87580,1179,9.678387693224614
2021-03-22,USA,7274085,1188445,142008,5943632,84879,925,9.82226668058175
2021-03-23,USA,7356796,1193890,143667,6019239,82711,1659,9.971070725324592
2021-03-24,USA,7430796,1197090,145273,6088433,74000,1606,10.107391852005975
2021-03-25,USA,7505021,1206103,146591,6152327,74225,1318,10.226129785579703
2021-03-26,USA,7581274,1209305,147942,6224027,76253,1351,10.411932381873113
2021-03-27,USA,7653336,1228673,148944,6275719,72062,1002,10.477049082079727
2021-03-28,USA,7721494,1233609,150060,6337825,68158,1116,10.530539872440102
2021-03-29,USA,7791999,1247940,151913,6392146,70505,1853,10.59826459658335
2021-03-30,USA,7865099,1254424,153926,6456749,73100,2013,10.768786736141077
2021-03-31,USA,7939571,1272299,155090,6512182,74472,1164,10.931378948887206
2021-04-01,USA,7996710,1283115,156548,6557047,57139,1458,11.12099254772774
2021-04-02,USA,8055552,1292859,158146,6604547,58842,1598,11.283623207896465
2021-04-03,USA,8117326,1301857,159878,6655591,61774,1732,11.457591827812626
2021-04-04,USA,8181318,1305680,160927,6714711,63992,1049,11.565972079622751
2021-04-05,USA,8241521,1307689,162672,6771160,60203,1745,11.701987762841245
2021-04-06,USA,8298894,1317171,163970,6817753,57373,1298,11.795969378595954
2021-04-07,USA,8364242,1322208,165606,6876428,65348,1636,11.964412100015137
2021-04-08,USA,8416476,1330805,166223,6919448,52234,617,12.023045914017633
2021-04-09,USA,8463146,1339417,167518,6956211,46670,1295,12.090605966481775
2021-04-10,USA,8528031,1345696,168352,7013983,64885,834,12.233338675979214
2021-04-11,USA,8580822,1350818,169747,7060257,52791,1395,12.295540993075498
2021-04-12,USA,8635736,1353106,170389,7112241,54914,642,12.401681612438916
2021-04-13,USA,8694353,1354546,172085,7167722,58617,1696,12.564688340227757
2021-04-14,USA,8743779,1367477,172951,7203351,49426,866,12.731260377616874
2021-04-15,USA,8784389,1377390,174093,7232906,40610,1142,12.855154143260503
2021-04-16,USA,8842036,1387341,174682,7280013,57647,589,12.913599634612778
2021-04-17,USA,8897208,1389427,175877,7331904,55172,1195,13.019830221541334
2021-04-18,USA,8948919,1392900,176689,7379330,51711,812,13.10336959731925
2021-04-19,USA,8996186,1404798,178100,7413288,47267,1411,13.236447739979448
2021-04-20,USA,9047106,1411919,179596,7455591,50920,1496,13.380857535699738
2021-04-21,USA,9090056,1417562,180564,7491930,42950,968,13.566031237273386
2021-04-22,USA,9143596,1429280,181148,7533168,53540,584,13.758592959884869
2021-04-23,USA,9186440,1438204,182107,7566129,42844,959,13.836811133843433
2021-04-24,USA,9233904,1447337,183021,7603546,47464,914,13.974359550621063
2021-04-25,USA,9266134,1450643,183867,7631624,32230,846,14.048752091522797
2021-04-26,USA,9308980,1453478,185076,7670426,42846,1209,14.241222078516586
2021-04-27,USA,9352992,1455611,185884,7711497,44012,808,14.421131661941647
2021-04-28,USA,9399977,1468885,186396,7744696,46985,512,14.527601166973355
2021-04-29,USA,9440386,1470499,187107,7782780,40409,711,14.703919005443712
2021-04-30,USA,9473194,1475620,187985,7809589,32808,878,14.816141930794362
2021-05-01,USA,9510339,1478202,188998,7843139,37145,1013,15.016099581787282
2021-05-02,USA,9547179,1483037,190100,7874042,36840,1102,15.181447694064358
2021-05-03,USA,9582193,1484750,190540,7906903,35014,440,15.32237388923199
2021-05-04,USA,9610273,1488050,190949,7931274,28080,409,15.465093125300674
2021-05-05,USA,9641741,1492661,191686,7957394,31468,737,15.63094088406102
2021-05-06,USA,9675397,1494902,192372,7988123,33656,686,15.763726909877194
2021-05-07,USA,9715309,1504818,193093,8017398,39912,721,15.818044311324195
2021-05-08,USA,9750560,1509043,193977,8047540,35251,884,15.97365627653908
2021-05-09,USA,9782490,1515496,194305,8072689,31930,328,16.112143929567274
2021-05-10,USA,9814592,1521044,194877,8098671,32102,572,16.29776773374134
2021-05-11,USA,9849160,1527101,195764,8126295,34568,887,16.44108073877552
2021-05-12,USA,9871664,1527898,196377,8147389,22504,613,16.513141760914873
2021-05-13,USA,9904779,1533530,196879,8174370,33115,502,16.710146647207694
2021-05-14,USA,9941819,1540863,197614,8203342,37040,735,16.8551567753552
2021-05-15,USA,9974170,1549127,198020,8227023,32351,406,16.927942179382047
2021-05-16,USA,10006705,1553260,198435,8255010,32535,415,17.00522419204192
2021-05-17,USA,10043338,1557424,199148,8286766,36633,713,17.081072172722163
2021-05-18,USA,10074806,1566108,199583,8309115,31468,435,17.156412432182986
2021-05-19,USA,10103713,1573569,199923,8330221,28907,340,17.275529247387894
2021-05-20,USA,10134004,1579471,200350,8354183,30291,427,17.401041838016123
2021-05-21,USA,10166722,1583301,201200,8382221,32718,850,17.463305692808454
2021-05-22,USA,10200340,1584724,202123,8413493,33618,923,17.522467386786683
2021-05-23,USA,10238222,1593397,203068,8441757,37882,945,17.60386978528719
2021-05-24,USA,10269002,1598368,203603,8467031,30780,535,17.746608001016735
2021-05-25,USA,10300045,1606623,204377,8489045,31043,774,17.834473542668338
2021-05-26,USA,10323591,1607847,204948,8510796,23546,571,17.961225158985688
2021-05-27,USA,10353605,1612287,205516,8535802,30014,568,18.047595734530898
2021-05-28,USA,10389283,1619078,206064,8564141,35678,548,18.100606414197557
2021-05-29,USA,10419698,1626789,206567,8586342,30415,503,18.284185506308543
2021-05-30,USA,10452625,1630357,207287,8614981,32927,720,18.452561192099644
2021-05-31,USA,10484966,1634645,207957,8642364,32341,670,18.61437711322729
2021-06-01,USA,10522206,1643937,208650,8669619,37240,693,18.7069434990971
2021-06-02,USA,10567022,1652434,209609,8704979,44816,959,18.904920786416046
2021-06-03,USA,10598924,1659408,210314,8729202,31902,705,18.970188157309106
2021-06-04,USA,10635730,1668248,210800,8756682,36806,486,19.062952432613184
2021-06-05,USA,10672374,1670533,211293,8790548,36644,493,19.12498749446243
2021-06-06,USA,10700343,1677312,212122,8810909,27969,829,19.23466583431929
2021-06-07,USA,10744987,1679734,213434,8851819,44644,1312,19.407226644961682
2021-06-08,USA,10783354,1681434,214330,8887590,38367,896,19.540741078913772
2021-06-09,USA,10823475,1689804,215189,8918482,40121,859,19.706165018892563
2021-06-10,USA,10864259,1696110,215943,8952206,40784,754,19.792526478754823
2021-06-11,USA,10903704,1701438,216428,8985838,39445,485,19.885821061740863
2021-06-12,USA,10943339,1707275,217205,9018859,39635,777,19.943594592264226
2021-06-13,USA,10990906,1719152,218000,9053754,47567,795,20.00310083783514
2021-06-14,USA,11035047,1722962,219043,9093042,44141,1043,20.142446648926317
2021-06-15,USA,11086943,1732180,220051,9134712,51896,1008,20.244776888907765
2021-06-16,USA,11136851,1745644,220730,9170477,49908,679,20.405944986301275
2021-06-17,USA,11187342,1749081,221815,9216446,50491,1085,20.476910842795217
2021-06-18,USA,11235418,1760892,222453,9252073,48076,638,20.649097050829923
2021-06-19,USA,11290429,1768921,223734,9297774,55011,1281,20.752921623448447
2021-06-20,USA,11342184,1777404,225096,9339684,51755,1362,20.859463287862184
2021-06-21,USA,11401081,1789503,226229,9385349,58897,1133,21.021604694888623
2021-06-22,USA,11448405,1797835,227553,9423017,47324,1324,21.15313762405572
2021-06-23,USA,11504789,1804365,229139,9471285,56384,1586,21.220672330161975
2021-06-24,USA,11563008,1818832,230111,9514065,58219,972,21.389776108552518
2021-06-25,USA,11624346,1827680,231485,9565181,61338,1374,21.57385999601016
2021-06-26,USA,11681511,1840351,232413,9608747,57165,928,21.735451939896063
2021-06-27,USA,11744248,1849565,233082,9661601,62737,669,21.899820742757168
2021-06-28,USA,11804350,1864346,234670,9705334,60102,1588,22.076788586517345
2021-06-29,USA,11871461,1876972,235512,9758977,67111,842,22.24638289138428
2021-06-30,USA,11933419,1882893,237026,9813500,61958,1514,22.392555036317074
2021-07-01,USA,11995883,1891667,238517,9865699,62464,1491,22.480324895153117
2021-07-02,USA,12056952,1899361,240237,9917354,61069,1720,22.590452607667665
2021-07-03,USA,12121880,1902215,241486,9978179,64928,1249,22.663455318135078
2021-07-04,USA,12191405,1921213,243031,10027161,69525,1545,22.8442739044767
2021-07-05,USA,12274371,1932006,245407,10096958,82966,2376,22.998771528058235
2021-07-06,USA,12346326,1942287,246346,10157693,71955,939,23.139778785015665
2021-07-07,USA,12420523,1949515,247717,10223291,74197,1371,23.329933837231017
2021-07-08,USA,12493166,1952533,248607,10292026,72643,890,23.505768550197907
2021-07-09,USA,12571266,1957009,249582,10364675,78100,975,23.686253004507225
2021-07-10,USA,12659244,1980617,251163,10427464,87978,1581,23.78653259075411
2021-07-11,USA,12738226,2002163,253221,10482842,78982,2058,23.88655746650778
2021-07-12,USA,12819917,2017278,255540,10547099,81691,2319,23.988600446792216
2021-07-13,USA,12886795,2028126,257195,10601474,66878,1655,24.072291170233214
2021-07-14,USA,12960686,2040089,258194,10662403,73891,999,24.185129987658897
2021-07-15,USA,13040480,2054541,260451,10725488,79794,2257,24.322218240200602
2021-07-16,USA,13116938,2072403,262685,10781850,76458,2234,24.434411858759656
2021-07-17,USA,13202050,2075730,263681,10862639,85112,996,24.559741110309343
2021-07-18,USA,13282156,2093557,265683,10922916,80106,2002,24.74444925372545
2021-07-19,USA,13367340,2113851,266884,10986605,85184,1201,24.799931703902665
2021-07-20,USA,13465549,2123162,267995,11074392,98209,1111,24.91792502911487
2021-07-21,USA,13546271,2136831,269648,11139792,80722,1653,25.02803948824617
2021-07-22,USA,13627516,2142593,270756,11214167,81245,1108,25.219956807566213
2021-07-23,USA,13716516,2161715,272310,11282491,89000,1554,25.366556739052065
2021-07-24,USA,13803511,2171101,273451,11358959,86995,1141,25.51539533033859
2021-07-25,USA,13892764,2191984,274391,11426389,89253,940,25.6000565498268
2021-07-26,USA,13983625,2203183,275624,11504818,90861,1233,25.68578396698381
2021-07-27,USA,14074079,2223737,276708,11573634,90454,1084,25.844124006762158
2021-07-28,USA,14167067,2234435,278376,11654256,92988,1668,25.924871651074533
2021-07-29,USA,14260822,2240066,279863,11740893,93755,1487,25.976821939601145
2021-07-30,USA,14345611,2245815,282224,11817572,84789,2361,26.078094542355824
2021-07-31,USA,14448185,2265294,283781,11899110,102574,1557,26.216638783733046
2021-08-01,USA,14546298,2279404,285565,11981329,98113,1784,26.332057763103343
2021-08-02,USA,14634110,2283532,286960,12063618,87812,1395,26.496598632227307
2021-08-03,USA,14734359,2300344,289566,12144449,100249,2606,26.549969028475324
2021-08-04,USA,14830071,2314627,291037,12224407,95712,1471,26.694990761449247
2021-08-05,USA,14923264,2317163,293525,12312576,93193,2488,26.82384428879465
2021-08-06,USA,15017886,2337838,294796,12385252,94622,1271,26.87660289027677
2021-08-07,USA,15106820,2348160,296671,12461989,88934,1875,27.05106416083285
2021-08-08,USA,15206992,2376522,298086,12532384,100172,1415,27.121597005343173
2021-08-09,USA,15312801,2401161,300551,12611089,105809,2465,27.308758797231917
2021-08-10,USA,15418616,2420827,302495,12695294,105815,1944,27.436596453024343
2021-08-11,USA,15515056,2441717,304622,12768717,96440,2127,27.54499079513064
2021-08-12,USA,15614409,2461122,306189,12847098,99353,1567,27.702847680908278
2021-08-13,USA,15715780,2472737,308167,12934876,101371,1978,27.893372141806992
2021-08-14,USA,15805616,2492647,310381,13002588,89836,2214,27.948049612066185
2021-08-15,USA,15907320,2509417,311502,13086401,101704,1121,28.087576039403718
2021-08-16,USA,15998416,2517671,313021,13167724,91096,1519,28.153565777373785
2021-08-17,USA,16097992,2528425,315003,13254564,99576,1982,28.26878987816435
2021-08-18,USA,16194940,2536210,316450,13342280,96948,1447,28.438702260009695
2021-08-19,USA,16288032,2553708,318479,13415845,93092,2029,28.50243957100869
2021-08-20,USA,16391079,2578178,321399,13491502,103047,2920,28.69497517408181
2021-08-21,USA,16482712,2583762,323308,13575642,91633,1909,28.854808907043246
2021-08-22,USA,16579601,2594341,325839,13659421,96889,2531,29.008650391720924
2021-08-23,USA,16675107,2615823,327728,13731556,95506,1889,29.20680059292042
2021-08-24,USA,16775761,2642121,330635,13803005,100654,2907,29.36263686879777
2021-08-25,USA,16877021,2653763,331716,13891542,101260,1081,29.457239219903656
2021-08-26,USA,16974499,2656567,334492,13983440,97478,2776,29.64887919327067
2021-08-27,USA,17076557,2676299,337236,14063022,102058,2744,29.82321651439327
2021-08-28,USA,17172135,2689699,338262,14144174,95578,1026,29.907717839986425
2021-08-29,USA,17262435,2713103,340473,14208859,90300,2211,30.005011390661018
2021-08-30,USA,17363833,2721370,342581,14299882,101398,2108,30.10282426610083
2021-08-31,USA,17462642,2743054,344786,14374802,98809,2205,30.15648438333431
2021-09-01,USA,17557957,2768531,347397,14442029,95315,2611,30.337689634236938
2021-09-02,USA,17654817,2770909,349913,14533995,96860,2516,30.440296406554694
2021-09-03,USA,17747709,2787089,352267,14608353,92892,2354,30.56227774960028
2021-09-04,USA,17844295,2794648,355133,14694514,96586,2866,30.67494276692538
2021-09-05,USA,17937150,2803672,356844,14776634,92855,1711,30.760759338790624
2021-09-06,USA,18026203,2822390,358246,14845567,89053,1402,30.84580050144811
2021-09-07,USA,18111974,2846810,359175,14905989,85771,929,31.043958859908514
2021-09-08,USA,18191311,2864412,361046,14965853,79337,1871,31.236453037501047
2021-09-09,USA,18273464,2885109,363159,15025196,82153,2113,31.349090153868787
2021-09-10,USA,18372360,2888954,364478,15118928,98896,1319,31.433840909076302
2021-09-11,USA,18455519,2897997,366877,15190645,83159,2399,31.57500142830813
2021-09-12,USA,18533255,2915982,367928,15249345,77736,1051,31.652967167629768
2021-09-13,USA,18618294,2931875,370104,15316315,85039,2176,31.711643569114276
2021-09-14,USA,18700159,2940130,372164,15387865,81865,2060,31.784727955065254
2021-09-15,USA,18777063,2956864,374187,15446012,76904,2023,31.86830059728865
2021-09-16,USA,18870641,2980777,376208,15513656,93578,2021,32.04991972668321
2021-09-17,USA,18956123,3002346,377516,15576261,85482,1308,32.23323193866355
2021-09-18,USA,19038616,3023567,379249,15635800,82493,1733,32.34449992062415
2021-09-19,USA,19122777,3041883,380717,15700177,84161,1468,32.50301293767744
2021-09-20,USA,19196266,3050319,381775,15764172,73489,1058,32.564432566600985
2021-09-21,USA,19272855,3061747,383844,15827264,76589,2069,32.68652055319998
2021-09-22,USA,19354439,3071011,385227,15898201,81584,1383,32.821380347799355
2021-09-23,USA,19430622,3075964,386395,15968263,76183,1168,32.99099425104039
2021-09-24,USA,19508657,3083423,388528,16036706,78035,2133,33.16654625029494
2021-09-25,USA,19583030,3091308,390309,16101413,74373,1781,33.30933795702722
2021-09-26,USA,19650934,3095004,392184,16163746,67904,1875,33.363725049482404
2021-09-27,USA,19723366,3112481,394104,16216781,72432,1920,33.46399287762127
2021-09-28,USA,19788823,3116776,395829,16276218,65457,1725,33.5901130376854
2021-09-29,USA,19859072,3132099,396540,16330433,70249,711,33.73265207544176
2021-09-30,USA,19925839,3140533,397554,16387752,66767,1014,33.863649882399145
2021-10-01,USA,19991799,3156869,399242,16435688,65960,1688,34.02780406777445
2021-10-02,USA,20058868,3165254,400371,16493243,67069,1129,34.21760828360095
2021-10-03,USA,20122356,3168660,401136,16552560,63488,765,34.37079114194607
2021-10-04,USA,20183545,3184509,402614,16596422,61189,1478,34.508116710972516
2021-10-05,USA,20242519,3192050,403611,16646858,58974,997,34.56497801604439
2021-10-06,USA,20304235,3209577,404258,16690400,61716,647,34.663519548916824
2021-10-07,USA,20360375,3214497,405368,16740510,56140,1110,34.8160138554078
2021-10-08,USA,20409538,3222536,406840,16780162,49163,1472,34.933721909057255
2021-10-09,USA,20464081,3227339,407563,16829179,54543,723,35.087774242924475
2021-10-10,USA,20525184,3230201,408507,16886476,61103,944,35.16043292669161
2021-10-11,USA,20586161,3232973,409644,16943544,60977,1137,35.27339202423053
2021-10-12,USA,20633393,3234793,410375,16988225,47232,731,35.38479212517779
2021-10-13,USA,20694021,3247806,412065,17034150,60628,1690,35.46675783078155
2021-10-14,USA,20745695,3251245,412962,17081488,51674,897,35.58773931678529
2021-10-15,USA,20794842,3262267,414405,17118170,49147,1443,35.768032791978634
2021-10-16,USA,20847685,3266646,415826,17165213,52843,1421,35.911965840223345
2021-10-17,USA,20899632,3281153,416481,17201998,51947,655,36.1000930173957
2021-10-18,USA,20953263,3294618,417533,17241112,53631,1052,36.16887088622608
2021-10-19,USA,21002178,3302872,418692,17280614,48915,1159,36.24894959523113
2021-10-20,USA,21044026,3311708,419597,17312721,41848,905,36.41858346032671
2021-10-21,USA,21088627,3319291,420319,17349017,44601,722,36.47032654131292
2021-10-22,USA,21131578,3324893,421160,17385525,42951,841,36.564075928119316
2021-10-23,USA,21171124,3327309,422105,17421710,39546,945,36.73105357645332
2021-10-24,USA,21213188,3336875,422613,17453700,42064,508,36.92905296544339
2021-10-25,USA,21251742,3343138,423108,17485496,38554,495,37.07177632559111
2021-10-26,USA,21295030,3352151,423549,17519330,43288,441,37.19943307209881
2021-10-27,USA,21343887,3361952,424123,17557812,48857,574,37.254413538417516
2021-10-28,USA,21382254,3367534,424608,17590112,38367,485,37.40783328378811
2021-10-29,USA,21417204,3375362,425517,17616325,34950,909,37.482955671126966
2021-10-30,USA,21456569,3385912,426466,17644191,39365,949,37.67338750806352
2021-10-31,USA,21489975,3391046,426834,17672095,33406,368,37.829746585981155
2021-11-01,USA,21528785,3398386,427844,17702555,38810,1010,38.001970353043134
2021-11-02,USA,21568516,3400958,428304,17739254,39731,460,38.134109209466196
2021-11-03,USA,21603364,3406030,429101,17768233,34848,797,38.2938476377295
2021-11-04,USA,21645338,3417501,429589,17798248,41974,488,38.38091312283102
2021-11-05,USA,21675153,3420767,430358,17824028,29815,769,38.50564248029899
2021-11-06,USA,21707102,3423934,431032,17852136,31949,674,38.58991069149868
2021-11-07,USA,21735717,3431328,431707,17872682,28615,675,38.64450856682955
2021-11-08,USA,21772490,3437550,432264,17902676,36773,557,38.82474944264081
2021-11-09,USA,21810840,3445030,432973,17932837,38350,709,38.9304052570885
2021-11-10,USA,21848664,3454873,434098,17959693,37824,1125,39.11045998150687
2021-11-11,USA,21874123,3458791,434721,17980611,25459,623,39.29147346721912
2021-11-12,USA,21917250,3465975,435929,18015346,43127,1208,39.382997636804376
2021-11-13,USA,21954259,3470788,436455,18047016,37009,526,39.52773166981825
2021-11-14,USA,21988089,3478991,437289,18071809,33830,834,39.685105414520564
2021-11-15,USA,22022608,3486529,437974,18098105,34519,685,39.86571789971144
2021-11-16,USA,22054055,3491322,438568,18124165,31447,594,39.969602905121405
2021-11-17,USA,22081225,3492405,439052,18149768,27170,484,40.058322920026576
2021-11-18,USA,22115852,3499178,439853,18176821,34627,801,40.22434388887957
2021-11-19,USA,22141225,3505423,440144,18195658,25373,291,40.35230998116297
2021-11-20,USA,22173176,3507854,440678,18224644,31951,534,40.46694310971224
2021-11-21,USA,22209932,3516459,441565,18251908,36756,887,40.542085992155485
2021-11-22,USA,22236721,3519277,441852,18275592,26789,287,40.69165667129876
2021-11-23,USA,22276817,3524392,442899,18309526,40096,1047,40.871897363375744
2021-11-24,USA,22310706,3533133,443377,18334196,33889,478,40.96235980510329
2021-11-25,USA,22345634,3542265,444380,18358989,34928,1003,41.030676292204795
2021-11-26,USA,22377270,3543768,444982,18388520,31636,602,41.12809970795131
2021-11-27,USA,22409823,3545083,445404,18419336,32553,422,41.322867512416714
2021-11-28,USA,22445825,3546954,445767,18453104,36002,363,41.468735503089036
2021-11-29,USA,22481608,3552590,446493,18482525,35783,726,41.61876514172095
2021-11-30,USA,22524017,3564453,447035,18512529,42409,542,41.714954632959625
2021-12-01,USA,22556867,3565573,447805,18543489,32850,770,41.77903974032804
2021-12-02,USA,22598228,3572424,448774,18577030,41361,969,41.959261078484666
2021-12-03,USA,22639734,3573965,449884,18615885,41506,1110,42.111748282728115
2021-12-04,USA,22674580,3578343,450578,18645659,34846,694,42.29208403039992
2021-12-05,USA,22712460,3582094,451662,18678704,37880,1084,42.44356103826651
2021-12-06,USA,22753645,3587077,452251,18714317,41185,589,42.55264069911463
2021-12-07,USA,22791387,3588097,453124,18750166,37742,873,42.609872504943716
2021-12-08,USA,22835253,3595500,454419,18785334,43866,1295,42.79048552249431
2021-12-09,USA,22880148,3597997,455531,18826620,44895,1112,42.901106570741966
2021-12-10,USA,22931351,3603967,456377,18871007,51203,846,43.072283462033155
2021-12-11,USA,22979848,3607694,457284,18914870,48497,907,43.140314820338745
2021-12-12,USA,23028801,3621288,458306,18949207,48953,1022,43.23900269482378
2021-12-13,USA,23069098,3628500,459269,18981329,40297,963,43.356306738217164
2021-12-14,USA,23108500,3636063,459850,19012587,39402,581,43.44039718230664
2021-12-15,USA,23157923,3642082,461004,19054837,49423,1154,43.55992128887672
2021-12-16,USA,23203973,3645148,461814,19097011,46050,810,43.687783556647155
2021-12-17,USA,23252246,3654230,462626,19135390,48273,812,43.79760697378169
2021-12-18,USA,23303703,3661692,463737,19178274,51457,1111,43.93879273770071
2021-12-19,USA,23359689,3663751,465100,19230838,55986,1363,43.991527625102165
2021-12-20,USA,23416197,3679811,465886,19270500,56508,786,44.13864883222536
2021-12-21,USA,23469624,3693511,467410,19308703,53427,1524,44.32881423624618
2021-12-22,USA,23527347,3708382,468393,19350572,57723,983,44.45169500012413
2021-12-23,USA,23579842,3712745,469240,19397857,52495,847,44.582569191625424
2021-12-24,USA,23632863,3719702,470100,19443061,53021,860,44.7399917927589
2021-12-25,USA,23688893,3733278,470796,19484819,56030,696,44.89215947085365
2021-12-26,USA,23741117,3741378,471507,19528232,52224,711,45.048516410112015
2021-12-27,USA,23803197,3744119,472446,19586632,62080,939,45.171048257120006
