customer_id,age,income,spending_score,website_version,purchase,loan_default,churn
103,28,46425,21,A,0,0,0
104,34,88711,85,B,0,0,1
105,25,113311,22,A,0,0,0
106,52,29425,97,A,0,0,0
107,52,111549,45,A,0,0,0
108,50,113464,91,A,0,0,1
109,22,64990,40,B,0,1,0
110,59,93746,22,B,1,0,0
111,56,88295,30,B,0,0,1
112,58,36091,62,A,0,0,0
113,45,20002,73,A,1,0,0
114,24,70411,45,A,0,0,1
115,26,60958,35,B,0,0,1
116,25,115696,82,A,0,0,0
117,29,40707,42,B,0,0,1
118,51,35248,5,B,0,0,0
119,50,91309,27,A,0,0,0
120,40,98322,70,A,0,0,0
121,41,71720,62,A,0,0,0
122,54,35037,32,A,0,0,0
123,52,87421,8,A,0,0,1
124,61,101867,85,B,0,0,0
125,57,60612,18,B,0,0,0
126,39,108031,78,A,0,1,0
127,44,33450,15,A,0,0,0
128,52,29491,26,A,0,0,0
129,18,94804,53,B,0,0,0
130,52,113293,44,B,0,0,1
131,54,26791,32,B,0,0,1
132,64,48314,28,B,0,0,0
133,31,71883,39,A,1,0,0
134,20,114119,32,B,0,0,0
135,18,107086,77,B,1,0,0
136,22,85629,79,A,0,0,0
137,43,29967,18,A,0,0,0
138,31,101754,70,B,0,0,0
139,56,63220,11,A,0,0,0
140,44,94163,32,A,0,0,1
141,26,24947,20,A,1,0,0
142,32,59419,97,B,0,0,0
143,32,76131,40,B,0,0,0
144,43,108714,8,A,0,0,0
145,59,48876,35,A,0,0,0
146,30,108444,69,B,0,0,0
147,49,39971,99,B,1,0,0
148,56,82539,78,A,0,0,1
149,49,118120,21,A,0,0,1
150,21,69228,24,B,0,0,0
151,47,94495,17,A,0,0,0
152,54,48261,18,B,0,0,0
153,40,81260,98,A,0,1,0
154,56,101371,12,B,0,1,0
155,62,104793,16,A,0,1,0
156,32,23346,4,B,0,0,0
157,60,116343,89,A,0,0,0
158,46,115954,34,A,0,0,0
159,53,76176,92,A,0,0,0
160,30,72300,46,A,0,1,1
161,49,31340,75,B,0,0,1
162,24,53012,77,A,0,0,0
163,39,55393,31,B,0,0,0
164,45,95133,25,B,0,0,0
165,19,45557,74,A,0,0,0
166,59,84204,24,B,0,0,0
167,62,93273,65,A,0,0,0
168,23,37276,25,B,0,0,0
169,45,74639,28,A,0,1,0
170,45,27310,36,A,0,0,0
171,61,55167,82,B,0,0,0
172,61,104880,6,B,0,0,0
173,37,30391,66,A,0,0,0
174,47,70621,67,B,0,0,0
175,28,30892,72,A,0,0,0
176,45,96733,95,A,0,0,1
177,42,98586,48,B,0,0,1
178,56,56142,83,A,0,0,0
179,50,65679,70,B,0,0,0
180,18,61615,78,A,0,0,0
181,44,67553,67,A,0,0,1
182,30,99071,48,A,0,0,1
183,58,61002,65,B,0,0,0
184,20,90658,44,A,0,0,1
185,56,29852,94,A,0,0,0
186,23,25387,63,B,0,0,0
187,25,117295,46,A,0,0,0
188,44,59994,19,B,0,1,0
189,26,53725,64,B,1,1,1
190,54,92682,83,B,0,0,0
191,50,20560,73,A,0,0,1
192,59,76565,71,B,0,0,1
193,61,21312,50,A,1,0,1
194,41,38205,63,B,0,0,0
195,32,31595,41,A,0,0,0
196,49,107566,7,B,0,0,0
197,49,41329,9,B,0,1,0
198,41,88187,4,B,0,0,0
199,58,95542,89,A,0,0,0
200,29,55645,49,B,0,0,0
201,56,107502,76,A,0,0,0
202,19,113382,6,A,0,1,1
203,20,107310,82,A,0,0,0
204,54,89619,21,A,0,0,0
205,34,53513,15,A,0,0,0
206,19,28749,67,A,0,0,0
207,19,50783,66,B,0,0,0
208,45,80645,56,B,0,0,0
209,40,102861,68,A,0,0,1
210,54,73175,32,A,0,0,1
211,49,104216,66,B,0,0,0
212,50,82709,29,B,0,0,0
213,18,37323,66,A,0,0,0
214,36,70762,34,B,0,0,0
215,19,108220,27,A,0,1,0
216,61,84222,60,B,0,0,0
217,43,54493,39,B,0,0,0
218,49,78328,44,B,0,1,0
219,23,32213,82,B,0,1,1
220,49,117367,36,B,0,0,1
221,21,66930,19,A,0,0,1
222,28,47713,91,A,0,0,0
223,34,92723,45,B,1,0,0
224,55,118336,84,A,0,0,0
225,41,52583,21,A,0,0,0
226,22,99944,23,B,0,0,0
227,51,42369,94,A,0,0,0
228,23,67928,89,A,0,0,0
229,39,88950,95,B,0,0,0
230,28,39510,27,A,1,0,1
231,33,32120,98,B,0,0,0
232,50,119847,72,B,0,0,0
233,26,118575,19,A,0,0,0
234,23,25295,41,B,0,0,1
235,33,40460,26,A,0,0,0
236,46,34963,28,A,0,0,0
237,20,97116,64,B,0,0,1
238,37,107822,68,A,0,0,0
239,53,47328,95,A,0,0,1
240,36,104629,80,A,0,1,0
241,43,41605,51,A,0,1,0
242,20,64813,74,A,0,0,0
243,36,66371,48,A,0,0,0
244,37,67598,10,A,1,0,0
245,49,80776,73,B,0,0,0
246,24,92258,39,A,0,0,0
247,58,60969,19,B,0,0,0
248,50,56912,64,B,0,0,0
249,57,58374,19,A,0,0,1
250,56,92302,76,B,0,0,0
251,35,82784,62,B,0,0,0
252,57,69882,13,B,0,0,0
253,18,35928,25,A,0,0,0
254,28,41274,89,B,0,0,1
255,45,54416,92,B,0,1,1
256,42,106148,42,B,0,0,1
257,40,80998,39,B,0,0,0
258,48,49047,30,B,0,0,0
259,47,63356,5,B,0,0,0
260,59,57134,81,A,0,0,0
261,52,87042,18,B,0,0,1
262,24,71310,21,B,1,0,1
263,33,100758,86,A,0,0,0
264,43,32363,50,A,0,0,0
265,19,105149,6,B,0,0,0
266,18,64563,50,B,1,0,0
267,29,50628,80,A,0,0,0
268,22,89672,66,B,0,0,0
269,54,66246,1,B,0,0,1
270,49,31161,57,A,1,0,0
271,26,109110,30,B,1,0,0
272,58,112438,58,A,0,0,0
273,52,22810,52,B,0,0,0
274,36,79860,37,B,0,0,0
275,33,97199,48,A,0,0,0
276,20,91688,87,A,0,1,0
277,37,85548,1,B,0,0,1
278,41,82363,19,B,0,1,0
279,50,31162,46,B,0,0,1
280,41,107858,67,A,0,0,0
281,28,93535,2,A,0,0,0
282,25,27219,56,A,0,0,0
283,53,90864,17,A,0,0,1
284,55,23621,92,A,0,0,0
285,57,109792,82,A,0,0,0
286,37,64433,97,B,0,0,0
287,52,96850,79,A,0,0,0
288,42,86188,22,A,0,0,1
289,52,74951,27,A,0,0,1
290,42,101718,55,A,0,0,0
291,46,56558,32,B,0,0,1
292,35,35659,60,A,0,0,0
293,63,54413,83,B,0,0,1
294,35,30435,28,A,0,0,0
295,19,73911,28,B,1,0,0
296,52,48067,74,A,0,1,0
297,33,107794,84,A,0,0,0
298,58,113823,25,A,0,0,0
299,53,89224,85,A,0,0,0
300,50,93225,78,B,0,0,0
301,21,21379,86,B,0,0,0
302,50,47624,26,A,0,0,0
303,31,111500,75,A,0,0,1
304,38,108427,71,B,0,0,1
305,37,77745,17,B,0,0,1
306,25,71805,82,B,0,0,0
307,24,32516,7,A,0,0,0
308,20,99422,56,B,0,0,1
309,34,105843,64,A,0,0,0
310,50,44843,20,A,0,0,0
311,29,25912,38,B,0,0,0
312,39,41514,75,A,0,0,0
313,39,107359,58,A,0,0,1
314,63,77032,16,B,0,0,0
315,47,48797,51,A,0,0,0
316,55,26449,27,B,0,0,0
317,55,21725,51,B,0,0,0
318,62,101406,75,B,0,0,0
319,25,29304,16,A,0,0,0
320,44,93058,87,B,0,0,0
321,44,33663,60,B,1,0,0
322,51,90320,76,A,0,0,0
323,38,95008,40,A,0,1,1
324,47,114488,67,B,0,0,1
325,50,95591,2,A,0,0,0
326,45,115044,48,A,0,1,0
327,64,32676,52,A,1,0,0
328,50,45192,24,A,0,0,0
329,22,44722,93,A,0,0,0
330,36,27446,98,B,0,0,0
331,21,24725,84,B,0,0,0
332,52,105597,82,B,0,0,0
333,34,108207,78,A,0,0,1
334,61,77632,82,A,0,0,0
335,45,86945,2,B,0,0,0
336,47,93741,65,B,0,0,0
337,46,36365,20,B,1,0,0
338,63,85792,34,A,0,0,0
339,23,84857,41,B,0,0,1
340,52,35704,41,A,0,0,0
341,58,70575,75,B,0,0,0
342,54,49902,91,B,0,0,1
343,41,21195,23,A,1,0,0
344,46,73517,38,A,0,0,0
345,63,54012,44,B,0,0,0
346,48,31415,67,B,0,0,0
347,52,59534,62,B,0,0,0
348,50,41686,12,A,0,0,0
349,38,97198,30,A,0,0,0
350,49,48743,95,B,0,0,0
351,40,52161,87,B,0,0,1
352,50,81313,65,B,0,0,0
353,20,22402,41,A,0,0,0
354,35,83190,20,B,0,0,0
355,42,72551,6,B,0,0,0
356,59,33275,75,A,0,0,0
357,48,48182,99,B,0,0,0
358,20,34915,4,B,1,0,1
359,57,20909,93,A,0,1,0
360,63,85908,10,A,0,0,0
361,41,42620,51,B,0,0,1
362,49,54112,93,A,0,0,0
363,64,94051,38,A,0,0,1
364,39,22431,1,A,0,0,0
365,40,106590,8,A,0,0,1
366,19,82175,81,A,1,0,0
367,44,52624,83,A,0,0,1
368,59,96121,63,A,0,0,0
369,19,81264,33,B,0,0,0
370,43,51958,15,A,0,0,0
371,34,21695,31,A,0,0,1
372,57,69932,21,A,0,0,0
373,50,119323,3,A,0,0,0
374,26,64225,66,B,0,0,0
375,60,21403,35,B,0,0,0
376,56,103346,41,A,0,0,0
377,46,94391,59,B,0,0,0
378,59,58636,16,B,0,0,0
379,43,30839,56,B,0,0,1
380,52,85546,45,B,0,0,0
381,42,67829,59,B,1,0,0
382,41,29230,50,A,0,0,0
383,30,71977,85,A,0,0,0
384,24,60232,12,A,0,0,1
385,53,114792,92,B,0,0,0
386,62,45651,12,A,0,0,0
387,37,117919,33,B,0,0,0
388,18,59963,84,A,0,0,0
389,25,75872,49,A,0,0,0
390,63,99198,21,A,0,0,0
391,33,33739,60,A,0,1,0
392,31,83294,52,B,0,0,1
393,29,68356,54,A,0,0,0
394,40,21789,39,A,0,0,0
395,32,39420,49,B,0,0,1
396,45,109297,64,B,0,0,1
397,51,57606,86,A,0,0,0
398,19,58640,26,A,0,0,0
399,49,64135,71,B,0,0,1
400,40,57067,7,B,0,0,0
401,39,78420,72,A,0,0,0
402,42,37357,62,B,0,0,0
403,39,59851,90,B,0,0,0
404,39,58262,88,A,0,0,0
405,59,96853,24,A,0,1,1
406,23,78643,40,A,0,0,0
407,32,41534,76,B,0,0,0
408,60,111270,47,A,0,0,0
409,54,52872,8,A,0,0,0
410,50,27689,54,A,1,0,0
411,25,89103,9,B,1,0,1
412,61,106268,3,A,0,1,0
413,61,106310,54,A,0,0,0
414,22,108731,21,B,0,0,0
415,56,57412,95,B,1,0,0
416,21,67734,48,A,0,1,0
417,23,107793,47,A,0,0,0
418,62,89930,88,A,0,0,0
419,49,42228,68,B,0,0,0
420,47,97924,84,A,0,0,1
421,64,31319,63,A,0,0,0
422,52,26475,16,B,0,0,0
423,57,117091,74,B,0,0,0
424,33,103694,90,A,1,0,0
425,30,34728,93,B,0,0,1
426,59,49545,5,A,0,0,0
427,47,116636,11,A,0,0,0
428,36,101686,29,B,0,0,0
429,34,118750,79,B,0,0,1
430,36,118412,70,B,0,0,0
431,45,81756,48,B,1,0,0
432,43,88775,15,A,0,0,0
433,54,58699,84,B,0,0,1
434,43,56821,34,B,0,0,0
435,40,50615,60,A,0,0,0
436,26,33746,62,A,0,0,0
437,29,106457,2,A,0,0,0
438,18,42745,80,B,0,0,0
439,18,21245,19,A,0,0,0
440,64,44853,98,B,0,0,0
441,51,47632,49,B,1,0,1
442,49,32856,78,B,0,0,0
443,42,76893,88,B,0,0,0
444,57,90641,28,A,0,0,0
445,62,88049,48,A,0,0,0
446,18,78182,96,A,0,0,0
447,33,22801,37,A,0,0,0
448,56,117881,74,A,0,0,0
449,22,99431,49,B,0,0,0
450,39,59749,48,B,0,1,0
451,46,93757,73,B,0,0,0
452,20,75654,88,B,0,0,0
453,29,91574,29,A,0,0,0
454,43,117567,60,B,0,0,1
455,33,75381,29,B,0,0,1
456,54,78601,58,B,0,1,1
457,39,35082,48,B,0,0,1
458,46,34648,23,B,0,0,1
459,31,20364,27,B,0,0,0
460,45,54568,95,A,0,0,1
461,22,99646,7,A,0,0,0
462,64,91494,49,B,0,0,1
463,47,94632,54,B,0,0,0
464,63,27436,68,B,0,0,0
465,22,106713,78,B,1,0,1
466,29,46754,42,B,0,0,0
467,33,80194,74,A,0,1,0
468,43,44544,59,A,0,1,0
469,43,80180,44,B,0,0,0
470,38,83295,98,A,0,0,0
471,56,32638,26,B,0,0,0
472,53,85715,23,B,0,0,0
473,50,89409,73,A,0,1,1
474,47,103106,8,A,0,0,0
475,54,37157,53,A,0,0,0
476,40,65565,14,A,0,0,1
477,27,89996,71,B,0,0,0
478,22,85888,7,A,0,0,0
479,53,76095,9,A,0,0,1
480,51,84947,3,A,0,0,1
481,48,107122,78,B,0,0,0
482,27,90880,17,B,0,0,0
483,36,24507,44,B,0,0,0
484,49,63988,86,A,0,1,1
485,18,118421,46,A,0,0,1
486,22,36865,90,A,0,1,0
487,62,47213,58,B,0,1,0
488,21,75954,28,A,0,0,0
489,33,77450,14,A,0,0,1
490,41,24477,9,B,0,0,0
491,33,82222,26,A,0,0,0
492,19,26533,2,A,0,0,0
493,45,69395,75,A,0,1,0
494,49,43396,81,A,0,0,0
495,44,32755,34,B,0,0,0
496,37,20865,19,B,0,1,0
497,41,31173,39,B,0,0,1
498,29,78905,82,A,0,0,0
499,52,58097,13,A,0,0,0
500,50,53371,5,B,0,0,0
501,50,31254,50,A,0,0,0
502,60,24018,23,B,0,0,0
503,54,25192,88,B,0,0,0
504,29,22015,29,A,0,0,1
505,20,88916,72,B,0,0,1
506,18,48343,26,B,0,0,0
507,50,89306,79,B,0,0,0
508,57,25829,57,B,0,0,1
509,27,54381,1,B,0,0,0
510,60,101081,28,B,0,0,0
511,61,38263,62,A,0,0,0
512,46,73260,47,B,0,0,0
513,30,63306,78,B,0,1,0
514,29,111211,98,A,0,0,1
515,48,78418,59,A,0,0,0
516,63,110898,31,B,0,0,0
517,19,20148,70,A,0,0,0
518,52,21754,49,A,0,0,0
519,40,46745,5,B,0,0,1
520,34,92914,31,A,0,0,0
521,43,75833,37,B,0,0,0
522,25,40140,79,B,0,0,0
523,46,94907,15,B,0,0,1
524,43,80653,52,B,0,0,0
525,27,112535,69,A,0,0,1
526,43,81521,92,B,0,0,0
527,51,98315,97,A,0,0,0
528,58,51075,11,A,0,0,0
529,24,50697,43,B,0,0,0
530,21,74544,70,B,0,0,0
531,62,29795,23,A,0,1,0
532,28,84555,40,B,0,0,0
533,46,72204,63,B,0,0,0
534,53,89754,2,B,0,0,0
535,42,84860,79,A,0,0,0
536,38,71529,87,A,0,0,1
537,53,31672,86,A,0,0,0
538,27,74238,73,A,0,0,0
539,54,116578,47,B,0,0,0
540,26,55950,30,B,0,0,0
541,41,31009,16,A,0,0,0
542,52,67096,59,A,0,0,0
543,52,39544,47,A,0,0,1
544,53,75728,30,A,0,0,1
545,35,49381,9,A,0,0,0
546,56,45287,65,B,0,0,0
547,49,84610,59,A,0,1,0
548,41,88122,64,A,0,0,0
549,40,88184,8,B,0,0,0
550,49,60081,52,B,0,0,1
551,54,103637,18,B,0,1,0
552,29,65312,91,A,0,0,0
553,30,107228,82,B,0,0,0
554,40,92943,96,A,0,0,1
555,42,102790,58,A,0,0,0
556,52,100770,49,B,1,0,0
557,58,72726,32,A,0,0,0
558,47,42211,48,A,0,0,0
559,34,49480,45,B,0,0,0
560,37,67780,54,B,0,0,0
561,42,77138,85,B,0,0,0
562,39,110382,46,B,0,0,1
563,30,62503,96,B,0,0,0
564,36,77893,31,B,0,0,0
565,53,66193,37,B,1,1,0
566,29,81358,16,B,0,0,0
567,58,100857,46,B,0,0,0
568,36,98182,46,B,0,1,0
569,29,42117,78,A,0,0,0
570,26,79056,88,A,0,0,0
571,24,78706,89,A,0,0,0
572,45,90429,61,B,0,0,0
573,31,29476,46,A,0,0,0
574,48,102806,51,A,0,1,0
575,36,75006,62,A,0,0,0
576,64,107238,35,A,0,0,1
577,33,89918,81,A,0,0,0
578,22,83155,42,B,0,0,0
579,52,87321,45,B,0,0,0
580,29,65798,68,B,0,1,0
581,42,97271,75,A,0,1,0
582,38,50177,47,A,0,1,0
583,53,116248,79,B,1,0,0
584,40,102215,30,B,0,0,0
585,33,63013,24,B,0,0,0
586,56,102600,66,A,0,0,1
587,62,116099,43,B,0,0,0
588,59,73450,34,B,1,0,0
589,56,118628,23,B,0,1,1
590,31,67928,61,B,0,0,0
591,48,112403,95,B,0,0,0
592,22,65382,37,A,0,0,0
593,52,119290,13,A,0,0,0
594,40,105038,97,B,0,0,0
595,46,20760,71,A,0,0,1
596,60,44142,96,B,0,0,0
597,28,37290,7,B,0,1,0
598,35,91035,42,A,0,0,0
599,64,20364,38,A,0,0,0
600,29,76921,52,A,0,0,1
601,26,39797,44,A,0,0,0
602,27,52535,64,B,0,0,1
603,61,66300,13,A,0,0,1
604,34,67176,88,B,0,0,1
605,55,36105,28,B,0,0,0
606,24,27939,96,B,0,0,0
607,63,99472,82,B,0,0,0
608,30,62029,98,B,0,0,0
609,57,35863,98,A,0,0,0
610,59,98097,1,B,0,0,0
611,26,30447,43,A,1,0,1
612,44,116160,42,B,0,0,0
613,19,66940,95,A,0,0,0
614,22,97947,50,A,0,1,0
615,46,105001,60,B,0,0,0
616,54,39642,1,B,0,0,0
617,55,116798,51,A,0,0,0
618,36,115899,16,B,0,0,0
619,25,87643,39,B,0,0,0
620,62,27928,15,A,0,1,0
621,18,68002,33,A,0,0,0
622,39,104853,87,B,0,0,0
623,34,45017,53,B,0,0,0
624,24,99064,98,B,0,0,0
625,42,33313,17,B,0,1,0
626,62,21559,89,A,0,0,0
627,21,70893,6,A,0,0,1
628,53,35167,31,B,0,1,0
629,23,100879,69,A,0,1,0
630,48,58598,40,A,0,0,1
631,36,27523,30,A,0,0,0
632,61,69777,69,A,0,0,0
633,56,48439,76,A,0,0,1
634,44,101060,7,A,1,0,0
635,27,33285,13,A,0,1,1
636,43,30973,4,B,0,0,0
637,36,42694,50,B,0,0,0
638,56,55774,3,A,0,0,0
639,20,24302,12,A,1,0,0
640,62,42391,65,A,0,0,0
641,30,24611,27,A,0,0,0
642,45,29372,50,A,0,0,0
643,37,44312,77,B,0,0,1
644,45,34080,17,A,0,0,0
645,25,100618,72,B,0,0,1
646,58,116213,32,B,0,0,0
647,56,40874,84,A,0,0,0
648,18,82537,51,A,0,0,0
649,20,93914,17,A,0,0,0
650,30,21597,34,B,0,0,0
651,45,31600,35,B,0,0,0
652,42,23747,99,B,0,1,0
653,50,99415,24,A,0,0,0
654,55,98553,54,A,0,0,0
655,23,44815,18,A,0,0,0
656,61,104500,50,A,0,0,0
657,62,114348,46,A,0,0,0
658,49,44714,48,A,0,0,1
659,62,38890,33,B,0,0,0
660,64,81509,87,B,0,0,1
661,38,81824,89,A,0,0,1
662,33,24725,27,A,0,0,0
663,38,63205,1,B,0,0,1
664,28,40684,85,B,0,0,0
665,54,111861,59,B,0,0,1
666,53,77911,10,A,0,0,0
667,52,118078,95,B,0,1,0
668,36,33092,25,B,0,0,0
669,37,115918,84,B,0,0,1
670,35,59770,57,B,0,0,0
671,64,45457,66,B,0,0,0
672,58,91667,15,A,0,0,0
673,31,110751,28,A,0,0,0
674,32,82894,13,B,0,0,0
675,48,81305,14,A,0,0,0
676,18,32612,66,A,0,0,0
677,20,98627,34,B,0,0,0
678,33,57089,99,A,0,1,0
679,40,115295,25,A,0,0,0
680,28,72137,54,B,0,0,1
681,29,20559,79,B,0,0,0
682,27,86249,12,A,0,0,1
683,49,57361,9,A,0,0,1
684,33,100720,31,A,0,0,1
685,25,35261,78,B,0,1,1
686,55,40372,93,A,0,0,0
687,29,75355,53,A,0,0,0
688,41,117676,43,B,0,0,0
689,45,118560,38,A,0,0,0
690,25,77920,42,B,0,0,1
691,45,52544,72,A,0,0,0
692,53,20037,48,B,1,1,0
693,43,63032,67,A,0,0,0
694,25,98233,66,A,0,0,0
695,45,61420,16,B,0,0,0
696,45,117243,83,B,0,0,0
697,54,111552,94,B,0,0,0
698,58,54600,16,B,0,0,0
699,53,68285,31,B,0,0,0
700,44,82008,58,B,0,0,0
701,34,109520,28,B,0,0,0
702,26,25167,4,A,0,0,1
703,50,20432,10,A,0,0,0
704,37,89687,51,A,0,0,0
705,30,91947,18,A,0,0,0
706,45,116324,47,A,1,0,1
707,46,70903,32,A,0,1,0
708,30,112159,30,A,0,0,0
709,63,74149,36,B,0,0,0
710,52,107640,9,A,0,0,1
711,23,76768,36,B,0,0,0
712,35,80184,29,A,0,0,0
713,22,85792,16,B,0,0,0
714,64,53439,92,A,0,0,0
715,42,53257,21,A,0,0,0
716,19,64674,64,A,0,0,0
717,27,71248,66,A,0,0,0
718,47,103602,59,B,0,0,0
719,62,65371,99,A,0,0,0
720,22,118282,28,B,0,1,0
721,50,87996,55,A,0,0,1
722,18,57297,31,A,0,0,0
723,35,74273,33,A,0,0,0
724,49,81256,87,A,0,0,1
725,64,54743,60,B,0,0,0
726,28,88752,41,B,0,0,0
727,38,99803,81,B,0,0,0
728,43,95117,46,A,0,0,0
729,42,90051,49,A,0,0,0
730,39,42076,65,A,0,0,1
731,44,95312,42,A,0,0,0
732,30,107483,23,B,0,0,0
733,50,22963,27,B,0,0,1
734,51,92322,89,B,0,0,0
735,58,33866,32,A,0,0,0
736,52,52305,83,B,0,1,0
737,18,82403,88,A,0,0,1
738,38,102896,3,B,0,1,0
739,23,52813,60,B,0,0,0
740,45,86729,76,B,0,0,0
741,34,80686,99,B,0,0,0
742,22,24512,79,A,0,0,0
743,48,42666,17,A,0,0,0
744,22,36630,32,B,0,0,0
745,55,94519,7,B,0,0,1
746,20,20636,83,A,0,0,1
747,40,23775,71,B,0,0,1
748,54,87957,69,B,0,0,0
749,54,84591,58,B,0,0,0
750,27,98561,40,A,0,0,0
751,27,94816,85,A,0,0,0
752,36,31351,48,B,0,0,0
753,34,75184,51,B,0,1,0
754,38,115707,57,A,0,0,0
755,31,89180,71,A,0,1,0
756,26,101678,37,A,0,0,0
757,63,93309,87,A,0,1,0
758,18,114002,75,A,0,0,1
759,62,30778,74,A,0,0,0
760,30,32501,85,A,0,0,1
761,21,22108,55,A,0,0,1
762,18,114905,41,B,0,0,0
763,57,56382,97,B,0,0,1
764,49,111354,20,A,0,0,0
765,51,95787,33,B,0,0,0
766,45,43341,40,A,0,1,1
767,48,97214,99,B,0,0,0
768,25,34367,34,A,0,0,0
769,56,115208,62,A,1,0,0
770,43,89868,91,B,0,0,0
771,51,32002,19,B,0,0,1
772,20,105820,43,B,0,0,0
773,29,79949,69,B,0,0,0
774,18,35700,63,B,0,0,1
775,61,99305,93,A,0,0,0
776,22,82543,10,A,0,0,1
777,47,49318,13,A,0,0,1
778,47,109859,93,B,0,0,1
779,34,47610,5,A,0,0,0
780,64,92499,58,A,0,0,0
781,40,93374,59,B,0,0,0
782,32,85226,76,A,0,0,0
783,54,65167,59,B,0,0,0
784,38,97779,77,B,0,0,0
785,31,47939,86,A,0,0,0
786,19,81365,15,A,0,0,0
787,28,87381,77,B,0,0,0
788,56,66710,1,B,0,0,0
789,55,36766,38,A,0,1,0
790,51,32780,53,A,0,0,0
791,55,68458,52,A,0,0,0
792,51,76221,1,A,0,0,0
793,35,21509,11,A,0,1,0
794,47,109493,58,B,0,0,0
795,32,54346,40,B,0,0,0
796,44,102799,86,A,0,0,0
797,51,66874,99,A,0,0,0
798,55,46148,60,A,0,0,0
799,50,51533,44,A,0,0,0
800,41,98467,6,A,0,0,0
801,32,21359,28,B,0,0,0
802,47,110068,31,B,0,0,1
803,59,80313,8,A,0,0,0
804,34,40344,5,A,0,1,0
805,22,89778,54,A,0,0,0
806,46,40601,17,B,0,0,0
807,21,39116,38,B,0,0,0
808,27,76985,9,B,0,1,0
809,34,50782,74,A,0,0,0
810,27,69819,84,A,0,0,0
811,34,104416,78,B,0,1,0
812,37,89035,14,B,0,0,0
813,41,117123,26,A,0,0,1
814,22,64458,93,B,0,0,0
815,51,111556,62,B,0,1,0
816,23,28080,91,B,0,0,0
817,19,108743,25,A,0,0,0
818,30,53957,80,A,0,0,0
819,60,33908,36,B,0,0,0
820,60,116188,98,B,0,0,0
